FrequencyThreshold, MaxTransactionSize, MinTransactionSize, NumClasses, NumThreads, NumTransactions, Skew, UseIndex, [P]CountItemByFreq, [P]GenerateCandidates, [P]IdentifyFrequents, [S]_GenerateDataset, [S]_IdentifyActive, [S]_total
0.010000, 8, 1, 128, 1, 1000, 10.000000, 1, 112.397, 13.0256, 8361.9, 7.96802, 0.281736, 8525.3
0.010000, 8, 1, 128, 1, 1000, 10.000000, 1, 112.314, 12.9405, 8346.43, 7.8995, 0.268972, 8509.64
0.010000, 8, 1, 128, 1, 1000, 10.000000, 1, 112.413, 13.047, 8325.66, 7.93323, 0.280074, 8489
0.010000, 8, 1, 128, 2, 1000, 10.000000, 1, 57.0632, 10.9441, 4929.87, 7.87092, 0.312681, 5034.98
0.010000, 8, 1, 128, 2, 1000, 10.000000, 1, 57.0511, 11.3936, 4940.32, 7.41767, 0.282775, 5045.23
0.010000, 8, 1, 128, 2, 1000, 10.000000, 1, 57.5455, 11.3311, 4919.31, 7.95098, 0.287696, 5025.33
0.010000, 8, 1, 128, 4, 1000, 10.000000, 1, 31.2126, 11.4944, 3350.18, 7.87896, 0.28168, 3429.21
0.010000, 8, 1, 128, 4, 1000, 10.000000, 1, 30.8599, 11.7611, 3318.6, 7.89102, 0.301827, 3398.06
0.010000, 8, 1, 128, 4, 1000, 10.000000, 1, 30.9683, 11.2912, 3415.16, 7.91876, 0.33246, 3495.51
0.010000, 8, 1, 128, 8, 1000, 10.000000, 1, 17.276, 11.9968, 2639.49, 7.92675, 0.303793, 2704.34
0.010000, 8, 1, 128, 8, 1000, 10.000000, 1, 17.4125, 12.3476, 2654.88, 7.94884, 0.328638, 2720.28
0.010000, 8, 1, 128, 8, 1000, 10.000000, 1, 17.0798, 12.5546, 2628.39, 7.56232, 0.319423, 2693.25
0.010000, 8, 1, 128, 16, 1000, 10.000000, 1, 10.8067, 12.2746, 2383.47, 7.91022, 0.30608, 2442.02
0.010000, 8, 1, 128, 16, 1000, 10.000000, 1, 11.1591, 12.3393, 2429.22, 7.92734, 0.310628, 2488.53
0.010000, 8, 1, 128, 16, 1000, 10.000000, 1, 11.1999, 12.9901, 2381.11, 7.96695, 0.300328, 2440.75
0.010000, 8, 1, 128, 32, 1000, 10.000000, 1, 10.0001, 14.8855, 2367.01, 7.93152, 0.303047, 2427.4
0.010000, 8, 1, 128, 32, 1000, 10.000000, 1, 9.82933, 15.1063, 2376.2, 7.93271, 0.29658, 2436.73
0.010000, 8, 1, 128, 32, 1000, 10.000000, 1, 9.78623, 15.067, 2366.93, 7.92074, 0.33457, 2427.44
0.010000, 8, 1, 128, 48, 1000, 10.000000, 1, 10.8706, 18.5254, 2378.77, 7.92578, 0.311781, 2443.96
0.010000, 8, 1, 128, 48, 1000, 10.000000, 1, 10.7467, 18.3525, 2351.19, 7.92925, 0.288734, 2415.94
0.010000, 8, 1, 128, 48, 1000, 10.000000, 1, 11.2333, 18.0641, 2378, 8.01668, 0.32079, 2443.14
0.010000, 8, 1, 128, 1, 10000, 10.000000, 1, 93.3661, 10.1681, 86688.2, 71.9762, 0.267018, 86907.7
0.010000, 8, 1, 128, 1, 10000, 10.000000, 1, 93.3777, 10.2455, 86998.1, 71.52, 0.291817, 87217.7
0.010000, 8, 1, 128, 1, 10000, 10.000000, 1, 93.2796, 10.0149, 86820.5, 71.6132, 0.276618, 87040
0.010000, 8, 1, 128, 2, 10000, 10.000000, 1, 47.8941, 8.07713, 55776.1, 71.602, 0.265664, 55947
0.010000, 8, 1, 128, 2, 10000, 10.000000, 1, 48.0003, 7.91599, 55042.4, 71.5286, 0.262537, 55213.3
0.010000, 8, 1, 128, 2, 10000, 10.000000, 1, 47.9551, 7.68462, 54556.7, 71.9769, 0.265551, 54727.3
0.010000, 8, 1, 128, 4, 10000, 10.000000, 1, 25.2573, 8.85013, 31809.8, 71.9293, 0.26548, 31958.3
0.010000, 8, 1, 128, 4, 10000, 10.000000, 1, 25.3922, 8.34487, 31840.6, 71.8035, 0.274471, 31989.5
0.010000, 8, 1, 128, 4, 10000, 10.000000, 1, 25.3127, 8.51959, 31975.2, 66.9398, 0.305842, 32119
0.010000, 8, 1, 128, 8, 10000, 10.000000, 1, 14.7011, 10.7231, 29959.9, 72.1474, 0.300127, 30099.8
0.010000, 8, 1, 128, 8, 10000, 10.000000, 1, 14.9638, 9.65196, 29961, 67.3086, 0.305983, 30095.5
0.010000, 8, 1, 128, 8, 10000, 10.000000, 1, 14.7189, 11.1429, 29882.9, 72.0814, 0.301814, 30023.2
0.010000, 8, 1, 128, 16, 10000, 10.000000, 1, 10.0465, 10.9564, 27284, 71.7752, 0.275852, 27419.3
0.010000, 8, 1, 128, 16, 10000, 10.000000, 1, 9.77252, 10.3022, 27156.5, 67.4653, 0.33632, 27286.7
0.010000, 8, 1, 128, 16, 10000, 10.000000, 1, 10.0571, 10.9986, 27090.2, 72.347, 0.285149, 27225.6
0.010000, 8, 1, 128, 32, 10000, 10.000000, 1, 9.72345, 12.0795, 27053.6, 71.9401, 0.315502, 27189.7
0.010000, 8, 1, 128, 32, 10000, 10.000000, 1, 10.0951, 11.8899, 27100.5, 71.7678, 0.273567, 27236.2
0.010000, 8, 1, 128, 32, 10000, 10.000000, 1, 9.32329, 11.7016, 26986.7, 72.8304, 0.296197, 27123
0.010000, 8, 1, 128, 48, 10000, 10.000000, 1, 11.6458, 13.0475, 26938.5, 71.8015, 0.300731, 27077.2
0.010000, 8, 1, 128, 48, 10000, 10.000000, 1, 11.1664, 13.704, 26996.7, 71.6291, 0.293145, 27135.8
0.010000, 8, 1, 128, 48, 10000, 10.000000, 1, 11.526, 13.2407, 27552.7, 72.3284, 0.367427, 27692.5
0.010000, 8, 1, 128, 1, 100000, 10.000000, 1, 85.7611, 10.07, 943048, 701.872, 0.266341, 944075
0.010000, 8, 1, 128, 1, 100000, 10.000000, 1, 85.6739, 9.84146, 964732, 707.985, 0.300518, 965764
0.010000, 8, 1, 128, 1, 100000, 10.000000, 1, 85.8485, 9.73736, 946174, 702.356, 0.300912, 947202
0.010000, 8, 1, 128, 2, 100000, 10.000000, 1, 44.0093, 8.41886, 572665, 704.576, 0.293686, 573651
0.010000, 8, 1, 128, 2, 100000, 10.000000, 1, 43.9885, 8.68924, 576360, 705.51, 0.313428, 577348
0.010000, 8, 1, 128, 2, 100000, 10.000000, 1, 43.7195, 8.04054, 574748, 708.053, 0.266265, 575737
