{item} => {itemset}:  support %       confidence % 
--------------------------------------------

{L} => {W}:  6.2500 %        33.3333 %        
{W} => {L}:  6.2500 %        25.0000 %        
{Avik} => {W}:  6.2500 %        50.0000 %        
{W} => {Avik}:  6.2500 %        25.0000 %        
{Avik} => {L}:  6.2500 %        50.0000 %        
{L} => {Avik}:  6.2500 %        33.3333 %        
{B} => {M}:  6.2500 %        33.3333 %        
{M} => {B}:  6.2500 %        33.3333 %        
{Avik} => {B}:  6.2500 %        50.0000 %        
{B} => {Avik}:  6.2500 %        33.3333 %        
{B} => {Q}:  6.2500 %        33.3333 %        
{Q} => {B}:  6.2500 %        25.0000 %        
{B} => {H}:  6.2500 %        33.3333 %        
{H} => {B}:  6.2500 %        33.3333 %        
{B} => {C}:  12.5000 %        66.6667 %        
{C} => {B}:  12.5000 %        40.0000 %        
{B} => {D}:  12.5000 %        66.6667 %        
{D} => {B}:  12.5000 %        50.0000 %        
{Avik} => {M}:  6.2500 %        50.0000 %        
{M} => {Avik}:  6.2500 %        33.3333 %        
{M} => {Q}:  12.5000 %        66.6667 %        
{Q} => {M}:  12.5000 %        50.0000 %        
{H} => {M}:  6.2500 %        33.3333 %        
{M} => {H}:  6.2500 %        33.3333 %        
{C} => {M}:  12.5000 %        40.0000 %        
{M} => {C}:  12.5000 %        66.6667 %        
{D} => {M}:  6.2500 %        25.0000 %        
{M} => {D}:  6.2500 %        33.3333 %        
{Avik} => {Q}:  6.2500 %        50.0000 %        
{Q} => {Avik}:  6.2500 %        25.0000 %        
{Avik} => {H}:  6.2500 %        50.0000 %        
{H} => {Avik}:  6.2500 %        33.3333 %        
{Avik} => {C}:  6.2500 %        50.0000 %        
{C} => {Avik}:  6.2500 %        20.0000 %        
{Avik} => {D}:  6.2500 %        50.0000 %        
{D} => {Avik}:  6.2500 %        25.0000 %        
{H} => {Q}:  12.5000 %        66.6667 %        
{Q} => {H}:  12.5000 %        50.0000 %        
{C} => {Q}:  18.7500 %        60.0000 %        
{Q} => {C}:  18.7500 %        75.0000 %        
{D} => {Q}:  6.2500 %        25.0000 %        
{Q} => {D}:  6.2500 %        25.0000 %        
{C} => {H}:  6.2500 %        20.0000 %        
{H} => {C}:  6.2500 %        33.3333 %        
{D} => {H}:  6.2500 %        25.0000 %        
{H} => {D}:  6.2500 %        33.3333 %        
{C} => {D}:  12.5000 %        40.0000 %        
{D} => {C}:  12.5000 %        50.0000 %        
{R} => {Z}:  6.2500 %        25.0000 %        
{Z} => {R}:  6.2500 %        100.0000 %        
{O} => {R}:  18.7500 %        75.0000 %        
{R} => {O}:  18.7500 %        75.0000 %        
{R} => {W}:  12.5000 %        50.0000 %        
{W} => {R}:  12.5000 %        50.0000 %        
{K} => {R}:  6.2500 %        50.0000 %        
{R} => {K}:  6.2500 %        25.0000 %        
{R} => {Y}:  6.2500 %        25.0000 %        
{Y} => {R}:  6.2500 %        50.0000 %        
{H} => {R}:  6.2500 %        33.3333 %        
{R} => {H}:  6.2500 %        25.0000 %        
{O} => {Z}:  6.2500 %        25.0000 %        
{Z} => {O}:  6.2500 %        100.0000 %        
{W} => {Z}:  6.2500 %        25.0000 %        
